TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3080728231,1359680
1p80LdxRV74UKvL8gnD7ky,2205970979,971196
55n9yjI6qqXh5F2mYvUc2y,1977431697,668709
0V3wPSX9ygBnCm8psDIegu,1902692214,501152
1dGr1c8CrMLDpV6mPbImSI,1870509969,999800
4R2kfaDFhslZEMJqAFNpdd,1773583491,1396284
5xTtaWoae3wi06K5WfVUUH,1723509161,670963
3hUxzQpSfdDqwM3ZTFQY0K,1612404123,1220466
4lIxdJw6W3Fg4vUIYCB0S5,1519996093,1036716
1R0a2iXumgCiFb7HEZ7gUE,1476889450,671897
1P17dC1amhFzptugyAO7Il,1365508889,343572
6NFyWDv5CjfwuzoCkw47Xf,1224676818,606695
59HjlYCeBsxdI0fcm3zglw,1104419186,358739
5enxwA8aAbwZbf5qCHORXi,1091310211,598045
6RRNNciQGZEXnqk8SQ9yv5,1089877223,249896
6YvqWjhGD8mB5QXcbcUKtx,1067407338,600343
1vrd6UOGamcKNGnSHJQlSt,1043252170,379483
2gVhfX2Gy1T9kDuS9azrF7,1024924769,357639
2OzhQlSqBEmt7hmkYxfT6m,1024583218,743671
2o2IVjuqRkR9hJxtPjtAP0,1012839199,453717
4pvb0WLRcMtbPGmtejJJ6y,979032213,703626
1qrpoAMXodY6895hGKoUpA,972148755,782463
7KokYm8cMIXCsGVmUvKtqf,960671231,304968
3RauEVgRgj1IuWdJ9fDs70,957146481,263041
5lg33MHs1BoUtJVClw8ZpI,956145700,311528
2Rk4JlNc2TPmZe2af99d45,951270266,145075
2yLa0QULdQr0qAIvVwN6B5,946889914,419862
1K39ty6o1sHwwlZwO6a7wK,943685567,417699
5jQI2r1RdgtuT8S3iG8zFC,849706634,243790
0VE4kBnHJUgtMf0dy6DRmW,843208513,473166
3rWDp9tBPQR9z6U5YyRSK4,805140910,302110
4y5bvROuBDPr5fuwXbIBZR,787808274,273776
4D7BCuvgdJlYvlX5WlN54t,783926990,513834
1gcyHQpBQ1lfXGdhZmWrHP,772553351,324283
7AEAGTc8cReDqcbPoY9gwo,761565394,238257
3GCL1PydwsLodcpv0Ll1ch,761142889,307052
1MgV7FIyNxIG7WzMRJV5HC,745226268,586546
4q5YezDOIPcoLr8R81x9qy,722392716,526741
0Jlcvv8IykzHaSmj49uNW8,710600719,516497
1ZY1PqizIl78geGM4xWlEA,708612510,210412
273dCMFseLcVsoSWx59IoE,697343447,261531
3qoftcUZaUOncvIYjFSPdE,673221861,216699
1fzAuUVbzlhZ1lJAx9PtY6,610272934,675989
2x0WlnmfG39ZuDmstl9xfX,592573038,207861
3eX0NZfLtGzoLUxPNvRfqm,565534213,235751
2NmsngXHeC1GQ9wWrzhOMf,564934057,290181
1Iq8oo9XkmmvCQiGOfORiz,549564159,217049
4svZDCRz4cJoneBpjpx8DJ,546447292,188266
22bPsP2jCgbLUvh82U0Z3M,537206287,417740
0ZNU020wNYvgW84iljPkPP,533539826,280344
7kt9e9LFSpN1zQtYEl19o1,525502414,302964
1GwMQaZz6Au3QLDbjbMdme,524258825,401965
3pHkh7d0lzM2AldUtz2x37,513127073,241153
214nt20w5wOxJnY462klLw,509840713,201840
1wtOxkiel43cVs0Yux5Q4h,499003208,148608
1xwAWUI6Dj0WGC3KiUPN0O,490184285,127778
0W0iAC1VGlB82PI6elxFYf,483206279,434623
6VsvKPJ4xjVNKpI8VVZ3SV,479125454,334055
1SymEzIT3H8UZfibCs3TYi,477557502,237043
6AtZLIzUINvExIUy4QhdjP,476520139,140399
2F3N9tdombb64aW6VtZOdo,469676910,273639
3DrjZArsPsoqbLzUZZV1Id,465547868,224013
3sW3oSbzsfecv9XoUdGs7h,457853758,338095
17yraMKqmZIKAv3iaGcoLX,456638259,173984
6oVxXO5oQ4pTpO8RSnkzvv,453072410,1387023
5YqltLsjdqFtvqE7Nrysvs,451896259,149633
3zwMVvkBe2qIKDObWgXw4N,451203609,311534
2CYVETnhM9aytqrazYYwrK,446965826,160638
2P5gfMtCcKP0CkmgqFMyPg,442977301,129002
2Eeur20xVqfUoM3Q7EFPFt,435771532,164536
5kI4eCXXzyuIUXjQra0Cxi,433480781,136705
7FmYn9e7KHMXcxqGSj9LjH,432941327,154615
7qGr3rjRhndRIpFUA5f2HJ,432188039,191144
77sMIMlNaSURUAXq5coCxE,426042542,222919
12M5uqx0ZuwkpLp5rJim1a,418464623,176913
1LLXZFeAHK9R4xUramtUKw,409040569,144486
71BqAINEnezjQfxE4VuJfq,406283917,244883
6lCvK2AR2uOKkVFCVlAzzm,405745765,177383
5KD6AEm19QnMbfWpfoOHMl,402711408,198769
4OAuvHryIVv4kMDNSLuPt6,396850180,419639
43rA71bccXFGD4C8GOpIlN,392599045,119387
36t6frENUtCYKuZus6aYDO,390895305,234779
3yII7UwgLF6K5zW3xad3MP,385496901,173102
6KJqZcs9XDgVck7Lg9QOTC,383364339,153037
3Vevii7qKqrmW8CcyzBHDl,380804097,244016
1hjRhYpWyqDpPahmSlUTlc,374456963,215385
0A1JLUlkZkp2EFrosoNQi0,362636677,198870
2XXwLdtuAcE0HSCu61ijAb,359243938,214896
2VuqMjgoKaOHNM8HpxtXKx,354049211,139002
5OndtwLGA9O6XHFcGm2H7r,350747919,137154
2dgFqt3w9xIQRjhPtwNk3D,350345397,117098
3CWq0pAKKTWb0K4yiglDc4,347194299,298179
0heeNYlwOGuUSe7TgUD27B,346909860,88761
3nsfB1vus2qaloUdcBZvDu,345655146,221323
0wavGRldH0AWyu2zvTz8zb,344158836,174846
7HuBDWi18s4aJM8UFnNheH,343457265,191633
3Dby3p1m6IOZn2gIIqECgK,342114562,115486
5og4Qzt92jJzVDkOtSEilb,340693752,214099
4txojlesMFQZGWxwz2EeqB,340343554,137954
5QVVjX0ZItqlVpEuVCM9Yg,335248095,268356
7Mts0OfPorF4iwOomvfqn1,332479172,493448
6uwfVkaOM1mcMkFmSn35ix,331845213,105381
2YWtcWi3a83pdEg3Gif4Pd,330653821,98481
45wMBGri1PORPjM9PwFfrS,326355699,168762
5hQSXkFgbxjZo9uCwd11so,325816036,513628
5kHMfzgLZP95O9NBy0ku4v,324364025,133146
6sQckd3Z8NPxVVKUnavY1F,321511121,108742
3i9UVldZOE0aD0JnyfAZZ0,321418047,63103
7I7JbDv63ZJJsSi24DyJrz,318421214,163681
0qAIiGFKLdV1xpNlEhjpq8,313681868,107216
6RSG1dKPV5gEvILwJb4QtS,304158471,415863
2v1ivOOsgn64g5OywuH55L,302729102,200991
3NMrVbIVWT3fPXBj0rNDKG,300848025,188982
4NAmRvqSITAAzKWnC8yRq3,300504023,83608
3ZVFcD8Wlw9T9klGqmJf9F,298077198,151023
5uICWmZTLkpEVbK22PBP6e,291428164,146707
4V9NuhKQcUFt4cgbynHV79,282100054,87487
01K4zKU104LyJ8gMb7227B,279372229,136899
6qnM0XXPZOINWA778uNqQ9,277959919,111091
6Wlq9rqkxrqj5Kls4Kw14H,276765796,142429
79uDOz0zuuWS7HWxzMmTa2,275328643,171198
4wFUdSCer8bdQsrp1M90sa,271896142,76963
07NxDD1iKCHbAldceD7QLP,270069174,88613
43Ykum9T72UOPhBN31grpN,269695812,112021
4CkgMiMqZ5JzW9iYXSTMTL,266947119,119444
4zmKGsrXjLmljb5fTaBTot,265781214,191223
00vJzaoxM3Eja1doBUhX0P,265679054,38660
3xYJScVfxByb61dYHTwiby,262503751,146151
4NioO5R9sHEZh4cGzMHyNt,261615606,134480
2QDyYdZyhlP2fp79KZX8Bi,259507698,93447
7G0gBu6nLdhFDPRLc0HdDG,257105776,167106
3z6XUommYDWPHeFhmhhT6j,256095225,171776
5rcHBt2aNcGFWW0jaAUe1L,255662678,76724
7MbT4I8qGntX4fMdqMQgke,255194176,100467
7F5oktn5YOsR9eR5YsFtqb,252755292,113189
7eGeUVeCEvEQrivmjl9Qn3,252697266,94135
0z9UVN8VBHJ9HdfYsOuuNf,250476974,34650
1dhMTsEZz6ZEquGvmzVoHn,246269626,192325
0hhzNPE68LWLfgZwdpxVdR,244532037,268245
6FmJKLpyCt42nP2IOVEVc2,244150565,48966
5VYWxXUpxuxEmCqMLDqICo,242312523,93420
32mVHdy0bi1XKgr0ajsBlG,241649667,93681
52OkpDsU6MmPx1AwGOb6Ap,239026789,113113
4mKye6Z1kXuKolzMkJoKFA,238524578,23771
0dAb8TY433dl3ZfXYCLE19,237139868,78233
71CBDRKmF2VeRKYMG1DFBh,233867407,120856
5PxFv9yJEg9dxvbZggykro,231909324,109692
18WFFUIsewmA8g31KAeo3e,230433587,243491
6MWoRt97mnSTXZhu3ggi9C,229869234,93814
55Vf4bimc1Rtfg0PAQRAo2,229051785,91860
2ythurkTtSiyfK7GprJoFW,228093694,121548
5tWxKWq1DSP1s9WQ5PWuqu,227857867,87248
3fO566xJgwxIa3qGCGBvIC,224089535,167179
08fa9LFcFBTcilB3iq2e2A,222512090,80652
1kcwpPDQnqEqmezzXdJTCP,221855515,177903
2awNGIJHodfLZSClB3PYhz,219713405,78928
66tOfHVH3aUrscg8vExRV4,215778715,93293
6pYNq0ZwpPVazKzsqpf0G8,215771827,95339
6xsEAm6w9oMQYYg3jkEkMT,215197938,67155
6N1K5OVVCopBjGViHs2IvP,214415185,63975
045ZeOHPIzhxxsm8bq5kyE,213532192,386788
06WgOCf0LV2h4keYXDRnuh,209637003,52104
7qEUFOVcxRI19tbT68JcYK,207653233,145452
3pv7Q5v2dpdefwdWIvE7yH,206861625,100938
2vPMoMDXxu9uX1igWZmXSG,203525841,101238
5h2sBwpUSAndjObfU3ti2r,201877039,47501
4hqJ4bSlYJOXb6Z4SRmzxs,201758055,111413
0eFQWVz0qIxDOvhLpZ40P7,197813406,87446
5Bedn0svl0ZD7RGmJkmKKw,191784261,195708
1SztNGCwEHJEVFx90E5g7D,190193822,62405
62E2nR0od0M5HYxuYLaDz7,189071770,142986
4dYUOfmWna6DFccnz732n8,186640681,67386
4OmFmE0fzcMG6g0Y8p4eSD,185355653,91554
3MytWN8L7shNYzGl4tAKRp,173871647,87747
0NwGC0v03ysCYINtg6ns58,172399007,56917
1hR8BSuEqPCCZfv93zzzz9,171665585,82375
4AYtqFyFbX0Xkc2wtcygTr,170738147,50863
2h3MDMf8sd9s4XIzpTBIjX,170378379,91155
73W5aXorr5vxrySFcoZqIN,168207492,94275
10GRRCR5fctuOF4GFmATJI,165062304,71195
1MaqkdFNIKPdpQGDzme5ss,164006123,62114
3wmN11qXGL0HyPojvEE1D9,162980873,47606
2fF3QzbGCrtrDXIdWcg1mv,162806111,27297
6RvRzl1YJTDnUvdOtV21IK,161310207,44745
4IQkfUsrwXol38VV3U7t7T,160996611,52683
1UlhrRvYzbHEyugEDspXUB,160312897,93808
2ByBBvpR9b7IynvRmnG7kG,159972830,111844
0Om9WAB5RS09L80DyOfTNa,158785828,68485
1XLc4irbX7oQSneh6gWv3O,157129583,32398
0v4z1tuZvn6LGknom9Qx7d,156601198,72304
1SmiQ65iSAbPto6gPFlBYm,156129990,38592
3hlGuz3loYoLfI3bpwieWq,154969524,122172
2KrOAg6FftbjgSKdd2a4rS,154584820,44031
6lzc0Al0zfZOIFsFvBS1ki,153403384,63681
0y6kdSRCVQhSsHSpWvTUm7,151700542,82896
7hZuICN5eaCuQyp443RCt6,151267095,28009
7C0w28EsX0Um2FrZs9gso2,150390929,48226
16MVSD0mGI4RMQT83Qzm69,149852230,65002
6T0sEnqjmHISIKwFETeeiP,149671435,62576
6a8aUhYbaQBUI8PcJ5ZmQ6,149212376,50616
3zMDGj4D8ogaYgAIZPeU7S,148800288,129669
4pNApnaUWAL2J4KO2eqokq,146674598,80790
05GsNucq8Bngd9fnd4fRa0,146343135,116913
6GXgd1BPD9bUpqw5AntGV5,145638856,96491
1rmEsOezwf2lmIZTMAO5Ag,144432535,119618
3jBMHD19RZdAqG9iFQh7xc,142796603,35899
2913xXOVAIDAqxzV2g4VcU,142418094,112789
1zU8j1x3yi9xalMF96pzKp,141816600,52508
1msEuwSBneBKpVCZQcFTsU,140815772,49103
4UwqOWDpdeIDVQDuKT6iza,139967755,139888
2G679wnKfyhUOeNx910OXg,139888461,33769
43sE2O3skbGBpT2tO6fzv9,139695955,56665
64FzgoLZ3oXu2SriZblHic,139695455,66389
1kdWw77ZpYOkhxeuhzU1j6,139637745,65119
5YL553x8sHderRBDlm3NM3,139097871,108024
5xXqyjLicvEpch72qEryFT,137748151,56368
3S7HNKPakdwNEBFIVTL6dZ,137289053,59419
6dTA6y0C2ReQklntzZl8l3,136931355,63956
2slqvGLwzZZYsT4K4Y1GBC,136722997,29890
5vyxXfD5gLlyPxGZMEjtmd,136233797,54322
4h0EXpatqJImv4VRgvX6po,134377634,34737
30Y4CV7A6YqtQtTTo7Ue4j,132256181,46283
4EF6IyONolQy0bIQXm2EmX,131555416,79681
6qAcApH8obo8eqatCKUHd9,129191978,47626
4CHpVfAhuxNJ3ibExe6kxO,128912667,27359
0H2UD0LfSCiRr59YMGlCuS,127574709,27386
4s8BIKx4Zh6ryAEz8RTlaU,127331043,59718
43y1WpBdnEy5TR9aZoSQL9,127069968,69883
2nqio0SfWg6gh2eCtfuMa5,126753257,44358
73qMN9bXy7MSPwwGfH3wQr,126150327,75675
7ogK4lJDVDMU6A6vYR5rvD,124554818,66416
59KOoHFcw5XfICnO57holu,122387386,105885
